ID	NAME	KEYWORDS
34	pCFC5	"T7 tag,neomycin resistance,expression vector,act15 promoter"
98	GFP-G&#946;	"GFP marker,extrachromosomal vector,expression vector"
99	G&#946;-YFP	"YFP marker,expression vector,act15 promoter"
100	pUNK-KO	"blasticidin resistance,knockout vector"
101	pDF15	"thymidine selection,knockout vector"
102	pMKC-Hyg1	"hygromycin resistance,knockout vector"
103	pDNeoII (pDNeo2)	"neomycin resistance,expression vector,act6 promoter,act15 promoter"
104	FadA-KO	"blasticidin resistance,knockout vector"
105	FadB-KO	"blasticidin resistance,knockout vector"
106	amiB-KO (p82ClaI)	"REMI vector,knockout vector"
107	amiB-KO (p12-3NdeI)	"REMI vector,knockout vector"
11	pTX-GFP	"GFP marker,expression vector,extrachromosomal vector,neomycin resistance,act15 promoter"
12	pREP	expression vector
13	ncsA	
14	calA	
15	cbpJ	
16	ncsA-KO vector	"knockout vector,blasticidin resistance"
17	pCnxA-GFP(S65T)	"neomycin resistance,GFP marker,expression vector,extrachromosomal vector"
18	pGFP(S65T)-crtA	"neomycin resistance,expression vector,extrachromosomal vector,GFP marker"
20	pMC34	extrachromosomal vector
22	pJK3	"extrachromosomal vector,expression vector"
23	pCV5	"expression vector,act15 promoter"
25	pB18	"neomycin resistance,expression vector,act15promoter"
26	pTorA-B18	expression vector
27	pRHI30	REMI vector
28	pCAR2-B18	expression vector
29	pCAR3-B18	expression vector
30	pRJ525	
31	pDXA-HC	"His tag,Myc tag,neomycin resistance,expression vector,act15 promoter"
33	pBSR3	"blasticidin resistance,REMI vector,act15 promoter,neomycin resistance"
35	pCFC6	"T7 tag,neomycin resistance,expression vector,act15 promoter"
36	pBsR519	blasticidin resistance
37	pBsR479	blasticidin resistance
38	pBsR503	blasticidin resistance
39	pDd56	"ecmB promoter,neomycin resistance,galactosidase marker"
40	pDd63	"ecmA promoter,neomycin resistance,galactosidase marker"
41	pUCBsr&#916;Bam	"REMI vector,blasticidin resistance"
43	p6B (CAR1)	
44	pMB35	"neomycin resistance,act6 promoter,act15 promoter,neomycin resistance,tet on/off vector"
46	EcmA-Gal	"galactosidase marker,expression vector,act15 promoter,act6 promoter,neomycin resistance,ecmA promoter"
48	pA15-Rm	"act15 promoter,act6 promoter,expression vector,neomycin resistance"
117	pAct15-Gal	"galactosidase marker,neomycin resistance,expression vector,act6 promoter,act15 promoter"
108	GFP-Arp2/pBIG(G418)	"GFP marker,neomycin resistance,act15 promoter,expression vector"
19	pMC25	knockout vector
158	CS4 5.03	"blasticidin resistance,cre-loxP vector"
21	pJK1	"extrachromosomal vector,neomycin resistance,expression vector,act15 promoter"
		
		
119	pDE102	"expression vector,hygromycin resistance "
120	pDE109	"expression vector,extrachromosomal vector,hygromycin resistance"
121	pBIG	"neomycin resistance,extrachromosomal vector,act6 promoter"
122	pLittle	"extrachromosomal vector,expression vector,neomycin resistance"
123	pTIKL	"expression vector,neomycin resistance,extrachromosomal vector"
124	carB::lacZ	"galactosidase marker,expression vector,act6 promoter,neomycin resistance"
125	pJH154	"expression vector,neomycin resistance"
126	pJH161	"expression vector,neomycin resistance,galactosidase marker"
129	pJH214	knockout vector
47	EcmO-Gal	"galactosidase marker,expression vector,act15 promoter,act6 promoter,neomycin resistance,ecmO promoter"
51	EcmB-Gal	"galactosidase marker,expression vector,act15 promoter,act6 promoter,neomycin resistance,ecmB promoter"
178	V/PsA-I-S65T-GFP	"neomycin resistance,GFP marker,expression vector,psA promoter"
179	V/A15-GFP	"act15 promoter,GFP marker,expression vector"
180	V/63-I-S65T	"neomycin resistance,ecmA promoter,expression vector,GFP marker"
183	V/PSA-gal	"galactosidase marker,psA promoter,expression vector"
184	V/63-idq-gal	"galactosidase marker,expression vector"
185	pDd31P4 Neo	"act6 promoter,neomycin resistance,galactosidase marker"
188	pJH138	knockout vector
189	pTorA-GFP-B18	"expression vector,GFP marker"
190	pGEG10	
191	pA15-PsiA(ORF)	"expression vector,act15 promoter"
192	pGEG04-V12	
193	pGEG04-KAX3	
77	pMYC-86-6	expression vector
		
		
78	pYL23	knockout vector
79	pGSP1	"expression vector,neomycin resistance"
80	pGACG	
81	pAcbA-BSR-KO	"knockout vector,blasticidin resistance"
82	pRJ648 (5cAR3ura)	knockout vector
83	pRJ544 (5car3neo)	"knockout vector,neomycin resistance"
85	pBSA15	"neomycin resistance,act15 promoter"
86	pA15	act15 promoter
87	pACA.URA	"knockout vector,uracil selection"
88	YakA-KO	knockout vector
89	dng-KI	
90	pEgeA-GFP	"GFP marker,neomycin resistance,expression vector"
91	pGSP2	
93	pCAR1-GFP	"GFP marker,neomycin resistance,expression vector"
94	pDXA-MCS-YFP	"YFP marker,neomycin resistance,expression vector,act15 promoter"
95	pDXA-CFP-MCS	"expression vector,CFP marker,neomycin resistance,act15 promoter"
96	pDXA-HY	"His tag,YL1/2 epitope tag,neomycin resistance,expression vector,act15 promoter"
97	srfA-KO	knockout vector
109	pDXA-FLAG	"FLAG tag,expression vector,neomycin resistance,extrachromosomal vector"
110	pDXA-GFP2	"GFP marker,expression vector,extrachromosomal vector,neomycin resistance"
111	pTX-FLAG	"expression vector,extrachromosomal vector,FLAG tag,neomycin resistance,act15 promoter"
49	pspA-Gal (D19-Gal)	"psA promoter,galactosidase marker,expression vector,neomycin resistance,act6 promoter"
